"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"El Salvador","SLV","CO2 emissions (kt)","EN.ATM.CO2E.KT","619.723","583.053","649.059","1125.769","1232.112","1041.428","1305.452","1158.772","1261.448","1191.775","1430.13","1510.804","1679.486","1969.179","1972.846","2108.525","2211.201","2288.208","2390.884","2390.884","2134.194","1833.5","1767.494","1903.173","1606.146","1987.514","1991.181","2449.556","2471.558","2588.902","2380","3060","3350","3920","4460","4960","4390","5320","5670","5610","5630","5870","5940","6510","6680","6840","7230","7630","6910","6680","6540","6780","6770","6460","6590","7000","7170","6380","6810","","",
"San Marino","SMR","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","CO2 emissions (kt)","EN.ATM.CO2E.KT","84.341","88.008","106.343","102.676","135.679","132.012","139.346","227.354","154.014","161.348","216.353","187.017","234.688","264.024","330.03","502.379","480.377","799.406","557.384","487.711","814.074","275.025","718.732","935.085","715.065","858.078","924.084","993.757","1008.425","957.087","730","700","680","640","630","590","570","550","520","500","490","510","570","580","580","580","580","620","620","610","630","630","630","650","650","650","660","660","690","","",
"Serbia","SRB","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61910","52200","48900","43210","39640","45340","52690","57270","57300","40780","43990","46170","49710","53100","57550","51510","53760","52580","51350","47070","46660","50810","45450","46150","38720","45160","46240","46900","45540","","",
"Sub-Saharan Africa (excluding high income)","SSA","CO2 emissions (kt)","EN.ATM.CO2E.KT","126340.879034511","132144.495828854","136778.865233537","143395.419836633","157400.001203566","174708.182206138","178263.073692227","185331.824338752","189405.215212633","205609.253634007","226696.138808046","260928.289036625","275095.632021058","292316.617093613","310261.2043113","301257.206484758","316866.871316606","319488.996615719","324867.523900671","366340.370559051","379182.443681167","404866.589925398","427253.497528923","434056.849656352","465753.607539517","477484.168088182","483526.618990833","476010.854442165","506749.025978428","482254.720374904","399090.997815705","403327.697170294","411110.238877377","420832.952108029","423993.086314876","443892.845170135","462298.355263052","477190.361509377","482167.825292047","469042.667244438","476503.814780733","525551.520777106","541321.902985079","570217.443240661","605877.488028473","622152.684007508","627826.790794243","651482.364106203","689020.316122365","659195.918528029","707627.751723706","712958.585146119","739198.804965916","770638.207769925","798329.066393456","777470.231840796","785390.542931806","801150.551260482","822805.44761491","","",
"South Sudan","SSD","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1420","1450","1530","1970","1730","1520","1380","","",
"Sub-Saharan Africa","SSF","CO2 emissions (kt)","EN.ATM.CO2E.KT","126346.100025262","132149.956651952","136784.517570261","143401.345600062","157405.736883927","174713.728237579","178268.580772068","185337.253964993","189410.600205982","205614.461076729","226723.496221194","260959.001532362","275137.379794266","292361.906268386","310313.756835717","301313.587415611","316945.460618954","319571.287088806","324942.295777142","366459.446964545","379275.270473656","404962.865499049","427334.608632823","434152.805773293","465849.216768761","477631.867078796","483689.171321752","476210.787696674","506944.892968815","482488.154101166","399239.201788188","403506.267133526","411288.744043898","421021.477167553","424201.778966258","444091.285453394","462537.035885881","477539.983418817","482608.273904372","469563.98843159","477085.654590431","526193.552840904","541862.84932214","570768.2590037","606629.947857664","622854.53512915","628568.982170632","652133.504069605","689721.642471437","659705.651209378","708066.43094206","713356.837743714","739647.332613006","771046.219406582","798787.276962011","777968.88796473","785929.452973371","801739.739680406","823424.721830527","","",
"Small states","SST","CO2 emissions (kt)","EN.ATM.CO2E.KT","15506.167591544","21523.5700601613","26317.1757911948","26322.7692398221","35145.4816145968","36937.0807250122","36652.4341373761","42819.7768694913","46257.861143684","46843.8982358759","72026.7492832097","82022.0931516607","90749.9849525314","109181.135080584","100835.795918488","103373.983965783","108846.428964457","118530.592591061","125018.312808654","128895.325320457","127746.167655088","110486.488933479","111077.80307197","100886.001835907","105159.083251793","112996.78480443","108299.742308117","110397.233969178","113526.736154965","125341.862054243","116102.94609287","113585.473521408","110388.615935561","108974.029633815","111121.351286106","111813.379117176","116128.376181496","120077.005570544","124127.403758278","126712.331244922","126101.718452802","131627.764221494","137856.014701126","145184.348152391","151963.818904116","170218.585725854","182160.4017766","191450.71283374","195518.362539839","202227.473660023","203723.967008686","209810.376198553","220175.350264466","224574.438094766","230018.058195274","228390.998312834","228009.342291027","231343.810692077","237761.658006144","","",
"Sao Tome and Principe","STP","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","11.001","7.334","11.001","11.001","11.001","11.001","14.668","14.668","14.668","11.001","11.001","14.668","18.335","18.335","29.336","29.336","33.003","33.003","40.337","44.004","47.671","55.005","51.338","55.005","51.338","51.338","47.671","47.671","50","50","40","50","50","50","50","50","50","50","50","50","60","70","70","80","80","80","90","90","100","100","120","120","120","120","120","130","140","","",
"Suriname","SUR","CO2 emissions (kt)","EN.ATM.CO2E.KT","432.706","429.039","495.045","531.715","605.055","795.739","1096.433","1334.788","1452.132","1521.805","1609.813","1716.156","1745.492","2108.525","1602.479","2020.517","1998.515","1899.506","2394.551","2295.542","2372.549","2031.518","1873.837","1375.125","1554.808","1598.812","1760.16","1760.16","1877.504","1855.502","1740","2020","2030","2040","2040","2060","2080","2100","2100","2120","1480","1520","1120","1230","1390","1690","1530","1410","1460","1450","1740","1950","2440","2290","2640","2750","2310","2130","2080","","",
